customer_id,name,gender,age,city,sim_type,join_date,is_active,device_type,referred_by
82,Abram Lanka,Male,38,Ujjain,Postpaid,2023-03-27,True,Feature Phone,4748
83,Siya Bhardwaj,Female,49,Ujjain,Prepaid,2023-02-15,True,Android,4731
84,Dhruv Dhar,Male,52,Gwalior,Postpaid,2023-12-12,True,iOS,3595
85,Madhup Mangat,Male,32,Gwalior,Prepaid,2023-07-05,True,Android,593
86,Sumer Hegde,Female,22,Jabalpur,Postpaid,2023-06-05,True,Android,3894
87,Prerak Dhar,Other,23,Gwalior,Postpaid,2023-01-09,True,Feature Phone,2669
88,Onkar Chaudhari,Male,42,Ujjain,Prepaid,2023-04-25,True,iOS,3903
89,Vardaniya Devan,Female,57,Bhopal,Prepaid,2023-06-03,True,iOS,756
90,Arhaan Keer,Male,46,Indore,Postpaid,2023-05-10,True,iOS,1300
91,Ivan Lalla,Male,24,Jabalpur,Postpaid,2023-11-27,True,Android,497
92,Saanvi Chahal,Male,57,Bhopal,Prepaid,2023-03-22,True,Feature Phone,4869
93,Sahil Kumar,Male,30,Indore,Postpaid,2023-10-17,True,Android,2422
94,Riaan Gour,Other,55,Indore,Postpaid,2023-05-27,True,Android,1599
95,Ryan Sachar,Male,35,Indore,Postpaid,2023-10-22,True,Android,4280
96,Ishaan Halder,Male,19,Bhopal,Postpaid,2023-09-26,False,iOS,4128
97,Prisha Babu,Male,25,Jabalpur,Postpaid,2023-05-13,True,Feature Phone,4379
98,Nitara Sankaran,Other,28,Jabalpur,Postpaid,2023-02-19,True,iOS,4932
99,Indranil Sharaf,Male,50,Indore,Prepaid,2023-01-23,True,Android,3591
100,Lakshay Chaudhry,Male,55,Bhopal,Prepaid,2023-03-29,True,Android,4782
101,Vidur Sathe,Other,44,Indore,Prepaid,2023-04-22,False,Feature Phone,462
102,Akarsh Sankaran,Other,37,Gwalior,Prepaid,2023-04-21,True,iOS,4967
103,Romil Saran,Other,29,Jabalpur,Postpaid,2023-03-13,False,Android,368
104,Umang Khatri,Male,48,Ujjain,Prepaid,2023-06-03,True,Android,2706
105,Veer Babu,Other,44,Indore,Postpaid,2023-02-26,True,Feature Phone,3324
106,Jayesh Ratti,Other,49,Gwalior,Postpaid,2023-09-14,True,Android,166
107,Aayush Wali,Male,27,Jabalpur,Prepaid,2023-06-05,True,iOS,3687
108,Pranay Yohannan,Other,20,Bhopal,Prepaid,2023-04-23,True,iOS,4083
109,Urvi Ganesh,Male,44,Jabalpur,Postpaid,2023-11-14,True,Android,3048
110,Shamik Golla,Female,52,Bhopal,Prepaid,2023-02-16,True,Android,1729
111,Piya Saxena,Other,48,Bhopal,Prepaid,2023-08-26,True,Android,4698
112,Adira Doshi,Female,32,Indore,Postpaid,2023-11-30,True,Feature Phone,3670
113,Mannat Aurora,Male,33,Indore,Postpaid,2023-04-16,True,Feature Phone,3175
114,Raghav Borde,Other,30,Jabalpur,Postpaid,2023-07-06,True,iOS,2174
115,Eshani Srinivasan,Male,52,Gwalior,Postpaid,2023-06-08,True,iOS,38
116,Aarna Grover,Female,28,Jabalpur,Postpaid,2023-07-17,True,Android,4444
117,Aarush Warrior,Male,38,Ujjain,Postpaid,2023-06-26,True,Android,2022
118,Sumer Sathe,Other,28,Bhopal,Prepaid,2023-09-18,False,Android,734
119,Ivan Goswami,Other,47,Bhopal,Prepaid,2023-10-14,True,Feature Phone,4522
120,Badal Goda,Female,52,Indore,Prepaid,2023-10-20,True,Feature Phone,648
121,Eva Jhaveri,Male,39,Gwalior,Postpaid,2023-12-01,True,Android,3303
122,Amani Gill,Other,55,Indore,Postpaid,2023-05-23,True,Android,320
123,Vardaniya Dhaliwal,Female,48,Ujjain,Prepaid,2023-11-04,True,iOS,4608
124,Hrishita Tank,Other,31,Jabalpur,Prepaid,2023-07-16,True,Feature Phone,2554
125,Aaryahi Sarin,Other,41,Jabalpur,Prepaid,2023-08-13,True,Android,3179
126,Ehsaan Rajagopalan,Male,49,Gwalior,Postpaid,2023-02-12,True,Feature Phone,1723
127,Prerak Kota,Other,53,Indore,Prepaid,2023-05-31,True,Android,1757
128,Riaan Ramachandran,Male,49,Indore,Prepaid,2023-10-23,False,Android,3679
129,Vardaniya Sampath,Other,32,Ujjain,Prepaid,2023-03-04,True,iOS,3779
130,Riaan Brahmbhatt,Female,52,Jabalpur,Postpaid,2023-05-10,True,iOS,2516
131,Dhruv Savant,Other,20,Indore,Prepaid,2023-09-12,True,iOS,3848
132,Zara Baria,Male,33,Gwalior,Prepaid,2023-12-09,True,Android,938
133,Myra Ramesh,Male,22,Jabalpur,Postpaid,2023-08-02,True,iOS,765
134,Hansh Bajwa,Female,38,Ujjain,Postpaid,2023-03-14,True,Android,653
135,Mamooty Ravi,Other,27,Gwalior,Postpaid,2023-04-14,True,Feature Phone,4081
136,Hrishita Dewan,Other,36,Bhopal,Postpaid,2023-06-07,False,Feature Phone,3603
137,Mohanlal Mall,Female,42,Ujjain,Postpaid,2023-09-29,True,Android,2130
138,Biju Bhat,Other,21,Gwalior,Prepaid,2023-11-11,True,iOS,4577
139,Saanvi Sundaram,Other,46,Indore,Prepaid,2023-08-26,True,iOS,3965
140,Stuvan Dhaliwal,Male,36,Bhopal,Postpaid,2023-10-30,True,Feature Phone,4612
141,Kavya Bhatnagar,Other,19,Ujjain,Postpaid,2023-06-07,True,Android,187
142,Siya Wagle,Other,27,Indore,Postpaid,2023-04-19,True,Android,146
143,Yuvraj  Ramesh,Female,42,Bhopal,Postpaid,2023-01-09,False,Android,4248
144,Jiya Chhabra,Female,37,Jabalpur,Prepaid,2023-11-17,True,Feature Phone,1387
145,Anya Gopal,Male,36,Indore,Prepaid,2023-02-28,True,Feature Phone,4189
146,Trisha Sankar,Other,40,Gwalior,Postpaid,2023-12-24,True,iOS,2588
147,Zaina Saran,Other,41,Ujjain,Postpaid,2023-07-11,True,Android,2697
148,Dharmajan Saraf,Other,28,Bhopal,Postpaid,2023-05-16,True,Android,4013
149,Saksham Yohannan,Male,51,Indore,Postpaid,2023-09-08,True,Android,4698
150,Pranay Brahmbhatt,Male,45,Jabalpur,Prepaid,2023-05-26,False,Android,49
151,Indrajit Rattan,Female,22,Ujjain,Postpaid,2023-12-13,True,Feature Phone,3330
152,Nirvaan Ben,Male,22,Ujjain,Postpaid,2023-12-18,True,iOS,3590
153,Dhanush Chaudhary,Other,38,Indore,Prepaid,2023-02-27,True,Feature Phone,2589
154,Rasha Kurian,Other,29,Jabalpur,Postpaid,2023-06-26,True,iOS,3482
155,Nitara Bal,Male,21,Bhopal,Prepaid,2023-10-15,True,Android,775
156,Shanaya Arora,Other,59,Indore,Postpaid,2023-09-02,True,Android,4642
157,Tarini Dash,Other,37,Bhopal,Postpaid,2023-02-17,True,Android,1261
158,Charvi Manne,Male,55,Ujjain,Prepaid,2023-10-28,True,Android,650
159,Vihaan Rao,Male,42,Bhopal,Postpaid,2023-12-22,True,Android,3440
160,Hunar Ahluwalia,Other,31,Jabalpur,Prepaid,2023-04-10,True,Feature Phone,3049
161,Manjari Chana,Other,28,Gwalior,Prepaid,2023-08-01,True,iOS,2024
162,Dharmajan Chauhan,Other,49,Jabalpur,Prepaid,2023-10-29,True,Feature Phone,1081
163,Inaaya  Gara,Female,28,Bhopal,Postpaid,2023-06-14,True,Android,4271
164,Hazel Acharya,Female,35,Indore,Postpaid,2023-05-06,True,iOS,2075
165,Shray Dave,Female,44,Ujjain,Prepaid,2023-10-29,True,iOS,4243
166,Samarth Bandi,Male,35,Gwalior,Postpaid,2023-05-01,True,Android,4964
167,Vritika Rattan,Female,40,Indore,Postpaid,2023-03-29,True,iOS,2313
168,Ishita Shanker,Male,28,Indore,Postpaid,2023-08-05,True,Feature Phone,3475
169,Divit Mane,Male,38,Jabalpur,Prepaid,2023-03-02,True,Feature Phone,2306
170,Hiran Johal,Female,22,Bhopal,Prepaid,2023-10-29,True,Feature Phone,3261
171,Ahana  Tiwari,Female,40,Jabalpur,Postpaid,2023-06-28,True,Feature Phone,2875
172,Dishani Tailor,Female,58,Bhopal,Prepaid,2023-07-09,False,iOS,4839
173,Nirvaan Lad,Other,42,Jabalpur,Postpaid,2023-06-12,True,Feature Phone,4806
174,Divij Jha,Female,58,Indore,Postpaid,2023-03-22,True,iOS,3311
175,Samaira Krish,Other,27,Ujjain,Postpaid,2023-06-19,False,Android,1351
176,Emir Verma,Male,39,Bhopal,Prepaid,2023-10-28,True,Feature Phone,1094
177,Gokul Devan,Other,36,Gwalior,Prepaid,2023-07-15,True,Android,3777
178,Anika Ghose,Female,18,Gwalior,Postpaid,2023-07-22,True,Feature Phone,3097
179,Misha Gera,Male,24,Indore,Prepaid,2023-02-16,True,Android,1855
180,Miraan Chakrabarti,Male,21,Jabalpur,Postpaid,2023-06-07,True,Android,2267
181,Umang Suresh,Male,18,Jabalpur,Prepaid,2023-07-13,True,Android,561
182,Devansh Ramachandran,Other,32,Indore,Prepaid,2023-10-06,True,Android,4988
183,Yuvaan Sundaram,Female,57,Gwalior,Prepaid,2023-11-13,True,Android,4693
184,Tanya Rattan,Male,29,Gwalior,Postpaid,2023-09-26,True,iOS,4546
185,Navya Kapoor,Male,39,Jabalpur,Postpaid,2023-07-18,True,iOS,2384
186,Aayush Jha,Male,39,Bhopal,Postpaid,2023-08-12,True,Feature Phone,1826
187,Ivana Lad,Other,34,Ujjain,Prepaid,2023-09-20,True,iOS,1684
188,Krish Kamdar,Other,46,Bhopal,Postpaid,2023-06-15,True,Android,1199
189,Devansh Kaur,Female,31,Gwalior,Postpaid,2023-06-29,True,iOS,1010
190,Samarth Dass,Other,37,Bhopal,Postpaid,2023-07-11,True,iOS,1772
191,Mahika Dave,Male,50,Ujjain,Postpaid,2023-08-04,True,Android,1708
192,Nishith Chhabra,Female,32,Bhopal,Prepaid,2023-10-11,True,iOS,4536
193,Samar Madan,Male,29,Bhopal,Prepaid,2023-12-18,True,Android,2273
194,Vritika Sant,Male,57,Bhopal,Postpaid,2023-04-17,True,iOS,2613
195,Madhup Khalsa,Other,37,Bhopal,Prepaid,2023-04-08,True,Android,4342
196,Neysa Kata,Female,47,Indore,Prepaid,2023-08-18,True,Feature Phone,1543
197,Shamik Samra,Other,55,Gwalior,Prepaid,2023-09-14,False,iOS,1238
198,Kashvi Rama,Other,20,Ujjain,Prepaid,2023-02-12,True,Feature Phone,2976
199,Kavya Arya,Female,45,Gwalior,Prepaid,2023-08-30,True,Android,1725
200,Eshani Goel,Male,43,Indore,Postpaid,2023-02-11,True,Android,2264
201,Dhanush Sha,Male,47,Indore,Prepaid,2023-04-05,True,Feature Phone,283
202,Veer Chaudry,Female,30,Indore,Postpaid,2023-09-11,True,Android,2621
203,Amani Aggarwal,Male,30,Indore,Postpaid,2023-07-07,True,Android,3287
204,Heer Hora,Female,19,Bhopal,Postpaid,2023-11-03,True,Android,172
205,Romil Mand,Female,54,Gwalior,Prepaid,2023-06-16,True,Android,3457
206,Neelofar Gara,Other,55,Jabalpur,Prepaid,2023-09-28,True,Android,1883
207,Tushar Mall,Female,19,Ujjain,Prepaid,2023-05-05,True,Android,2276
208,Anya Khalsa,Other,53,Indore,Prepaid,2023-06-10,True,Android,2622
209,Yakshit Varughese,Male,43,Gwalior,Postpaid,2023-03-28,True,Android,601
210,Nishith Jaggi,Male,28,Indore,Postpaid,2023-11-05,True,Feature Phone,3791
211,Stuvan Chand,Male,25,Indore,Postpaid,2023-08-14,True,iOS,2024
212,Jivin Zachariah,Male,57,Indore,Prepaid,2023-05-25,False,Android,467
213,Sana Bumb,Other,39,Indore,Postpaid,2023-12-11,True,Feature Phone,3951
214,Ira Soni,Male,37,Indore,Postpaid,2023-09-05,False,Android,3890
215,Kanav Dhawan,Female,25,Ujjain,Postpaid,2023-12-28,True,iOS,4393
216,Hazel Bala,Female,46,Gwalior,Prepaid,2023-01-06,True,Android,2593
217,Khushi Shan,Female,57,Indore,Postpaid,2023-01-31,True,Feature Phone,1020
218,Chirag Mane,Other,43,Indore,Postpaid,2023-07-16,True,Feature Phone,1548
219,Mohanlal Majumdar,Male,47,Indore,Prepaid,2023-08-20,True,iOS,4757
220,Nirvaan Samra,Male,34,Indore,Postpaid,2023-10-23,True,Android,4750
221,Tarini Krishna,Male,37,Bhopal,Prepaid,2023-11-21,True,Feature Phone,4898
222,Elakshi Mandal,Other,33,Bhopal,Postpaid,2023-05-15,True,iOS,4437
223,Jiya Wadhwa,Female,24,Jabalpur,Prepaid,2023-01-13,True,iOS,704
224,Biju Taneja,Female,33,Indore,Prepaid,2023-01-04,True,Android,853
225,Umang Verma,Male,44,Jabalpur,Prepaid,2023-06-27,True,Feature Phone,306
226,Rhea Gandhi,Female,40,Ujjain,Postpaid,2023-08-22,True,Android,3579
227,Veer Ramaswamy,Female,41,Jabalpur,Postpaid,2023-09-16,True,Android,1934
228,Drishya Ray,Other,26,Gwalior,Prepaid,2023-05-20,True,Android,1788
229,Ehsaan Jhaveri,Other,52,Bhopal,Prepaid,2023-03-06,True,Feature Phone,3788
230,Shlok Viswanathan,Other,37,Bhopal,Prepaid,2023-10-10,True,iOS,874
231,Faiyaz Acharya,Other,54,Indore,Prepaid,2023-12-29,True,Android,1582
232,Renee Bajaj,Male,59,Indore,Prepaid,2023-11-02,True,Android,3958
233,Madhav Bora,Other,34,Ujjain,Prepaid,2023-07-24,True,Feature Phone,4591
234,Madhav Chaudhry,Female,48,Ujjain,Prepaid,2023-01-17,True,Android,3333
235,Lagan Acharya,Male,25,Gwalior,Prepaid,2023-07-19,True,iOS,1686
236,Pari Sarin,Female,32,Indore,Prepaid,2023-02-01,True,Android,1606
237,Ishita Kanda,Female,48,Indore,Prepaid,2023-07-31,True,iOS,896
238,Shamik Devan,Female,47,Ujjain,Prepaid,2023-09-30,True,Android,3264
239,Dhruv Bose,Other,37,Ujjain,Prepaid,2023-10-17,True,Android,3425
240,Zoya Raj,Other,56,Ujjain,Postpaid,2023-10-18,True,Android,3854
241,Yakshit Kala,Male,29,Bhopal,Prepaid,2023-08-22,False,iOS,2347
242,Zara Bansal,Male,34,Jabalpur,Postpaid,2023-07-01,True,Android,3532
243,Umang Agrawal,Other,59,Jabalpur,Postpaid,2023-05-26,True,Android,2475
244,Reyansh Konda,Female,47,Indore,Postpaid,2023-02-19,False,Android,1862
245,Rania Rau,Male,46,Bhopal,Prepaid,2023-04-13,True,iOS,2764
246,Miraya Chahal,Other,36,Ujjain,Postpaid,2023-02-02,False,Android,4853
247,Pranay Singh,Other,28,Indore,Prepaid,2023-03-30,True,Feature Phone,31
248,Purab Ravel,Other,51,Bhopal,Postpaid,2023-12-07,True,iOS,4008
249,Sumer Subramaniam,Female,24,Gwalior,Prepaid,2023-11-11,True,Feature Phone,3456
250,Armaan Bhatnagar,Other,51,Bhopal,Prepaid,2023-08-29,True,Android,243
251,Aarav Sha,Other,37,Indore,Postpaid,2023-09-23,True,iOS,4782
252,Kartik Gandhi,Other,55,Jabalpur,Postpaid,2023-08-11,True,iOS,1499
253,Hridaan Babu,Other,41,Ujjain,Prepaid,2023-08-24,True,Android,4669
254,Dhanuk Madan,Male,27,Gwalior,Postpaid,2023-06-02,True,Feature Phone,3423
255,Hansh Dhar,Male,49,Bhopal,Prepaid,2023-02-26,True,iOS,4004
256,Devansh Kar,Other,32,Indore,Prepaid,2023-11-18,True,iOS,1660
257,Eshani Rama,Female,54,Indore,Prepaid,2023-04-22,False,iOS,3229
258,Ryan Sane,Male,37,Ujjain,Postpaid,2023-01-15,True,iOS,599
259,Pari Chana,Other,20,Indore,Prepaid,2023-09-26,True,iOS,2196
260,Zara Kota,Male,54,Indore,Prepaid,2023-04-24,True,Android,70
261,Dhanuk Sengupta,Male,57,Ujjain,Prepaid,2023-09-09,True,iOS,1394
262,Anaya Kurian,Female,25,Gwalior,Prepaid,2023-05-22,True,Feature Phone,3660
263,Anvi Cherian,Other,57,Jabalpur,Postpaid,2023-04-24,True,iOS,1650
264,Advik Sur,Other,40,Jabalpur,Postpaid,2023-10-17,True,Android,2282
265,Kiara Deep,Female,57,Bhopal,Postpaid,2023-12-23,True,Android,3683
266,Charvi Bhatti,Female,28,Gwalior,Postpaid,2023-01-25,True,Feature Phone,2684
267,Shamik Goda,Other,25,Bhopal,Prepaid,2023-11-06,True,iOS,4563
268,Prisha Toor,Other,46,Jabalpur,Prepaid,2023-09-12,True,Feature Phone,4653
269,Anvi Devan,Female,47,Ujjain,Prepaid,2023-09-25,True,Feature Phone,4990
270,Miraya Chokshi,Male,27,Indore,Prepaid,2023-05-06,False,Feature Phone,4932
271,Badal Amble,Male,56,Jabalpur,Prepaid,2023-09-07,False,Feature Phone,1311
272,Lakshay Majumdar,Female,45,Gwalior,Prepaid,2023-10-14,True,iOS,4714
273,Yuvaan Rastogi,Male,53,Jabalpur,Postpaid,2023-11-30,True,Android,4230
274,Advik Sanghvi,Female,30,Gwalior,Prepaid,2023-02-22,False,Android,4104
275,Amani Desai,Male,49,Gwalior,Prepaid,2023-02-12,True,iOS,2076
276,Elakshi Iyer,Male,53,Gwalior,Prepaid,2023-06-15,True,Feature Phone,783
277,Aayush Sarkar,Other,54,Bhopal,Postpaid,2023-02-11,True,iOS,3807
278,Shayak Kamdar,Other,43,Ujjain,Prepaid,2023-06-25,False,Feature Phone,1334
279,Madhav Dasgupta,Male,39,Jabalpur,Prepaid,2023-03-08,True,Feature Phone,3718
280,Manjari Dayal,Male,21,Ujjain,Prepaid,2023-03-07,True,iOS,4637
281,Tiya Dhillon,Other,48,Indore,Postpaid,2023-03-24,True,iOS,1058
282,Urvi Ganesh,Other,35,Jabalpur,Prepaid,2023-12-16,True,Feature Phone,2055
283,Ahana  Khalsa,Other,55,Ujjain,Prepaid,2023-04-15,True,Feature Phone,3402
284,Navya Rajagopal,Female,41,Ujjain,Postpaid,2023-10-14,True,Feature Phone,2110
285,Ritvik Lata,Male,40,Indore,Prepaid,2023-07-05,True,Feature Phone,3158
286,Diya Dora,Other,39,Gwalior,Postpaid,2023-10-11,True,iOS,3797
287,Hansh Verma,Male,19,Jabalpur,Prepaid,2023-01-04,True,Android,3649
288,Prerak Tara,Female,48,Jabalpur,Postpaid,2023-05-18,True,Android,1321
289,Nirvaan Grewal,Female,28,Indore,Prepaid,2023-06-28,True,Feature Phone,4418
290,Prerak Saraf,Other,45,Gwalior,Prepaid,2023-08-25,True,Android,3700
291,Alisha Doctor,Female,49,Jabalpur,Postpaid,2023-01-18,True,Android,733
292,Indrans Kapadia,Male,22,Jabalpur,Prepaid,2023-10-30,True,Android,3634
293,Nirvaan Majumdar,Other,55,Jabalpur,Prepaid,2023-01-09,True,Android,3550
294,Ayesha Lalla,Male,27,Gwalior,Postpaid,2023-01-29,False,Android,3663
295,Aarna Hayer,Male,57,Indore,Prepaid,2023-05-24,True,Android,4645
296,Nayantara Toor,Female,41,Jabalpur,Postpaid,2023-12-14,True,Feature Phone,605
297,Kabir Sastry,Female,52,Ujjain,Prepaid,2023-05-29,True,Feature Phone,1723
298,Emir Halder,Female,40,Gwalior,Postpaid,2023-03-05,True,Feature Phone,2405
299,Ira Bhatia,Female,34,Bhopal,Prepaid,2023-07-06,False,iOS,3483
300,Rhea Singhal,Female,18,Indore,Prepaid,2023-08-15,True,Android,2813
301,Mahika Ratti,Other,48,Ujjain,Postpaid,2023-04-28,True,Android,1582
302,Nirvaan Agrawal,Male,48,Jabalpur,Prepaid,2023-12-22,False,iOS,2279
303,Hrishita Sarin,Male,59,Bhopal,Postpaid,2023-09-11,True,Android,2351
304,Vihaan Vohra,Male,59,Indore,Postpaid,2023-01-31,True,Feature Phone,3624
305,Elakshi Manne,Male,51,Gwalior,Postpaid,2023-06-10,True,Feature Phone,715
306,Nitara Loke,Female,26,Bhopal,Prepaid,2023-08-03,True,iOS,925
307,Keya Viswanathan,Male,39,Bhopal,Prepaid,2023-06-18,False,Feature Phone,3163
308,Lakshit Bakshi,Other,30,Ujjain,Prepaid,2023-03-22,True,iOS,4154
309,Neysa Hegde,Other,42,Indore,Postpaid,2023-02-15,False,Feature Phone,4530
310,Zeeshan Atwal,Male,35,Ujjain,Postpaid,2023-02-18,False,Android,4079
311,Faiyaz Lalla,Male,29,Ujjain,Postpaid,2023-10-25,True,Feature Phone,2570
312,Eva Kala,Other,57,Jabalpur,Prepaid,2023-10-10,True,iOS,2816
313,Chirag Thaker,Other,34,Gwalior,Postpaid,2023-03-29,True,Android,4579
314,Anika Ganesan,Female,32,Bhopal,Prepaid,2023-05-01,True,iOS,4463
